"","x"
"X2003.02.20",1
"X2003.03.20",2
"X2003.04.20",11
"X2003.05.20",23
"X2003.06.20",31
"X2003.07.20",76
"X2003.08.20",106
"X2003.09.20",142
"X2003.10.20",150
"X2003.11.20",220
"X2003.12.20",327
"X3.13.20",421
"X3.14.20",613
"X3.15.20",615
"X3.16.20",967
"X3.17.20",1578
"X3.18.20",3038
"X3.19.20",5704
"X3.20.20",8403
"X3.21.20",11727
"X3.22.20",15800
"X3.23.20",20884
"X3.24.20",25681
"X3.25.20",30841
"X3.26.20",37877
"X3.27.20",44876
"X3.28.20",52410
"X3.29.20",59648
"X3.30.20",66663
"X3.31.20",75833
"X2004.01.20",83948
"X2004.02.20",92506
"X2004.03.20",102987
"X2004.04.20",113833
"X2004.05.20",123160
"X2004.06.20",131815
"X2004.07.20",139875
"X2004.08.20",151061
"X2004.09.20",161779
"X2004.10.20",172348
"X2004.11.20",181026
"X2004.12.20",189033
"X4.13.20",195749
"X4.14.20",203020
"X4.15.20",214454
"X4.16.20",223691
"X4.17.20",230597
"X4.18.20",237474
"X4.19.20",243382
"X4.20.20",248416
"X4.21.20",253519
"X4.22.20",258222
"X4.23.20",263460
"X4.24.20",271590
"X4.25.20",282143
"X4.26.20",288045
"X4.27.20",291996
"X4.28.20",295106
"X4.29.20",299691
